drafter,split,position,step,acc,sum,total
peagle,train,1,920,0.659,9.70e+03,1.47e+04
peagle,train,1,930,0.658,1.09e+04,1.66e+04
peagle,train,1,940,0.633,7.29e+03,1.15e+04
peagle,train,1,950,0.710,1.55e+04,2.18e+04
peagle,train,1,960,0.718,1.32e+04,1.83e+04
peagle,train,1,970,0.724,1.04e+04,1.43e+04
peagle,train,1,980,0.705,9.14e+03,1.30e+04
peagle,train,1,990,0.717,1.67e+04,2.33e+04
peagle,train,1,1000,0.721,1.19e+04,1.65e+04
peagle,train,1,1010,0.732,9.89e+03,1.35e+04
peagle,train,1,1020,0.693,1.12e+04,1.62e+04
peagle,train,1,1030,0.733,9.50e+03,1.30e+04
peagle,train,1,1040,0.751,1.06e+04,1.42e+04
peagle,train,1,1050,0.709,1.31e+04,1.85e+04
peagle,train,1,1060,0.716,1.08e+04,1.51e+04
peagle,train,1,1070,0.691,1.35e+04,1.95e+04
peagle,train,1,1080,0.717,1.10e+04,1.54e+04
peagle,train,1,1090,0.718,1.26e+04,1.75e+04
peagle,train,1,1100,0.706,1.36e+04,1.92e+04
peagle,train,1,1110,0.720,1.02e+04,1.41e+04
peagle,train,1,1120,0.730,1.09e+04,1.50e+04
peagle,train,1,1130,0.713,1.14e+04,1.60e+04
peagle,train,1,1140,0.699,1.04e+04,1.48e+04
peagle,train,1,1150,0.721,1.44e+04,1.99e+04
peagle,train,1,1160,0.684,1.16e+04,1.70e+04
peagle,train,1,1170,0.731,8.53e+03,1.17e+04
peagle,train,1,1180,0.728,1.25e+04,1.71e+04
peagle,train,1,1190,0.698,1.07e+04,1.54e+04
peagle,train,1,1200,0.692,7.09e+03,1.02e+04
peagle,train,1,1210,0.718,1.23e+04,1.71e+04
peagle,train,1,1220,0.754,1.01e+04,1.34e+04
peagle,train,1,1230,0.725,9.93e+03,1.37e+04
peagle,train,1,1240,0.739,1.54e+04,2.08e+04
peagle,train,1,1250,0.725,1.12e+04,1.54e+04
peagle,train,1,1260,0.728,1.37e+04,1.89e+04
peagle,train,1,1270,0.733,1.30e+04,1.77e+04
peagle,train,1,1280,0.750,8.83e+03,1.18e+04
peagle,train,1,1290,0.700,1.13e+04,1.62e+04
peagle,train,1,1300,0.717,1.16e+04,1.62e+04
peagle,train,1,1310,0.707,1.40e+04,1.98e+04
peagle,train,1,1320,0.752,8.13e+03,1.08e+04
peagle,train,1,1330,0.735,1.24e+04,1.68e+04
peagle,train,1,1340,0.726,7.85e+03,1.08e+04
peagle,train,1,1350,0.739,1.40e+04,1.89e+04
peagle,train,1,1360,0.720,1.16e+04,1.62e+04
peagle,train,1,1370,0.705,1.08e+04,1.54e+04
peagle,train,1,1380,0.716,9.64e+03,1.35e+04
peagle,train,1,1390,0.726,8.71e+03,1.20e+04
peagle,train,1,1400,0.707,1.02e+04,1.45e+04
peagle,train,1,1410,0.755,1.25e+04,1.65e+04
peagle,val,1,471,0.544,4.44e+05,8.17e+05
peagle,val,1,942,0.615,5.02e+05,8.17e+05
peagle,val,1,1413,0.639,5.22e+05,8.17e+05
peagle,train,2,0,0.00e+00,0.00e+00,1.43e+03
peagle,train,2,10,7.01e-04,1.000,1.43e+03
peagle,train,2,20,0.001,2.000,1.42e+03
peagle,train,2,30,0.004,5.000,1.43e+03
peagle,train,2,40,0.013,19.000,1.43e+03
peagle,train,2,50,0.007,10.000,1.43e+03
